town,jeff_ballinger,alexandra_chandler,beej_das,rufus_gifford,leonard_golder,dan_koh,barbara_litalien,juana_matias,bopha_malone,lori_trahan,total_counted,precincts,precincts_reported
Acton,38,490,91,920,22,671,796,234,23,583,3868,6,6
Andover,69,63,74,206,6,1845,1152,162,9,456,4042,7,7
Ashburnham,13,23,6,157,7,170,78,22,4,84,564,1,1
Ashby,7,27,2,61,4,60,55,43,4,47,310,1,1
Ayer,16,65,14,103,3,161,144,53,19,219,797,2,2
Berlin,5,35,0,119,7,75,76,35,1,69,422,1,1
Bolton,3,74,5,81,19,213,164,33,1,125,718,1,1
Boxborough,8,114,11,143,10,172,163,53,2,126,802,1,1
Carlisle,7,73,18,319,3,212,193,58,34,195,1112,1,1
Chelmsford,43,188,95,729,17,863,567,173,73,1949,4697,9,9
Clinton,19,55,16,174,25,423,285,95,4,165,1261,4,4
Concord,16,217,20,1565,11,687,987,423,39,704,4669,5,5
Dracut,83,118,194,286,22,688,904,95,60,1547,3997,10,10
Dunstable,3,17,4,68,3,64,55,17,10,182,423,1,1
Fitchburg,59,74,23,803,15,753,342,218,18,325,2630,12,12
Gardner,43,42,8,299,18,604,221,59,14,229,1537,10,10
Groton,20,137,20,250,4,430,193,67,31,448,1600,3,3
Harvard,12,130,11,198,8,244,204,103,15,188,1113,1,1
Haverhill,72,440,55,543,15,2066,912,1422,23,676,6224,21,21
Hudson,26,308,12,396,43,668,261,72,12,367,2165,7,7
Lancaster,10,28,9,96,15,178,157,40,3,108,644,2,2
Lawrence,194,107,22,196,35,866,993,6890,37,229,9569,24,24
Littleton,9,108,27,174,3,232,263,74,10,398,1298,3,3
Lowell,269,359,382,2161,39,992,599,719,695,3861,10076,33,33
Lunenburg,16,29,9,275,8,227,152,51,4,164,935,4,4
Marlborough,60,208,51,604,58,851,534,241,25,570,3202,14,14
Maynard,16,414,9,299,35,323,328,125,21,261,1831,4,4
Methuen,98,82,59,268,15,1667,744,961,38,875,4807,12,12
Pepperell,20,122,28,160,5,305,153,53,14,317,1177,3,3
Shirley,16,28,6,105,6,126,123,46,5,137,598,1,1
Stow,14,380,7,158,66,168,194,51,17,143,1198,2,2
Sudbury,3,14,0,96,5,79,64,12,1,73,347,1,1
Townsend,7,32,3,109,3,139,102,32,8,168,603,3,3
Tyngsborough,12,36,87,114,3,195,119,22,13,751,1352,4,4
Westford,42,157,96,314,5,648,354,117,49,1459,3241,6,6
Westminster,11,10,6,142,12,167,162,26,0,120,656,2,2
Winchendon,11,12,1,113,7,82,93,15,2,50,386,3,3
